1 0 0 0
0 1 0 0
0 0 1 0
0 0 0 1

           1 -1.12597e-06  1.81315e-06     0.429573
 1.12595e-06            1  1.54376e-05 -1.05329e-05
-1.81315e-06 -1.54376e-05            1  0.000131832
           0            0            0            1

           1    1.505e-06 -1.37342e-05     0.859077
-1.50473e-06            1  1.07372e-05 -1.28431e-05
 1.37337e-05 -1.07372e-05            1  4.48822e-05
           0            0            0            1

           1   5.8427e-06 -2.23939e-05       1.2886
-5.84246e-06            1  1.37641e-05 -2.53293e-06
 2.23951e-05 -1.37638e-05            1  3.56448e-05
           0            0            0            1

           1  9.44286e-06 -3.58371e-05      1.71811
 -9.4422e-06            1  1.35398e-05  5.32288e-07
 3.58364e-05 -1.35383e-05            1  3.49969e-06
           0            0            0            1

           1  1.50336e-05 -5.01565e-05      2.14833
-1.50326e-05            1  1.48203e-05  1.41627e-05
 5.01562e-05 -1.48185e-05            1 -2.79619e-05
           0            0            0            1

           1  1.95158e-05 -6.85848e-05      2.57714
-1.95143e-05            1  1.69097e-05  1.21602e-05
 6.85843e-05 -1.69073e-05            1 -7.46729e-05
           0            0            0            1

           1  2.71691e-05 -8.36802e-05      3.00595
-2.71674e-05            1  1.63731e-05  3.37307e-05
 8.36823e-05 -1.63694e-05            1 -9.68427e-05
           0            0            0            1

           1  3.36141e-05 -8.72528e-05      3.43475
-3.36122e-05            1  1.54581e-05  4.57105e-05
 8.72567e-05 -1.54536e-05            1 -6.61331e-05
           0            0            0            1

           1   3.6862e-05 -9.20996e-05      3.86354
-3.68599e-05            1   1.6488e-05  3.36753e-05
 9.21035e-05 -1.64831e-05            1 -4.24448e-05
           0            0            0            1

           1   4.3691e-05 -9.74509e-05      4.29234
-4.36888e-05            1  1.70429e-05  4.00459e-05
 9.74533e-05  -1.7037e-05            1 -1.89758e-05
           0            0            0            1

           1  4.96201e-05 -9.99966e-05      4.72227
-4.96181e-05            1  1.82199e-05  2.64843e-05
 0.000100001 -1.82133e-05            1  1.36031e-05
           0            0            0            1

           1  5.58308e-05 -0.000101777       5.1509
-5.58287e-05            1  2.02005e-05   1.1295e-05
 0.000101783 -2.01934e-05            1  4.26332e-05
           0            0            0            1

           1  6.13986e-05 -0.000105239      5.57955
-6.13961e-05            1  2.22865e-05 -1.32982e-05
 0.000105246 -2.22786e-05            1  7.55888e-05
           0            0            0            1

           1   7.1141e-05 -0.000107709      6.00819
-7.11379e-05            1  2.43228e-05 -1.55193e-05
 0.000107716 -2.43132e-05            1  0.000120035
           0            0            0            1

           1  8.05103e-05 -0.000106091      6.43683
-8.05074e-05            1  2.65451e-05 -3.41799e-05
 0.000106097 -2.65358e-05            1  0.000174496
           0            0            0            1

           1  9.15409e-05  -0.00010584      6.86547
-9.15379e-05            1   2.8226e-05 -4.57765e-05
 0.000105848 -2.82156e-05            1  0.000220226
           0            0            0            1

    0.982334    -0.187135 -9.90947e-05      7.28905
    0.187135     0.982334   2.9609e-05    0.0751909
 9.18078e-05 -4.76299e-05            1   0.00028311
           0            0            0            1

    0.925543    -0.378642 -9.22218e-05      7.62885
    0.378642     0.925543  3.67995e-05     0.223302
 7.14239e-05 -6.89764e-05            1  0.000297325
           0            0            0            1

    0.831824    -0.555039 -6.20512e-05      7.93231
    0.555039     0.831824  3.91239e-05      0.43605
  2.9903e-05 -6.69834e-05            1  0.000370031
           0            0            0            1

     0.70493    -0.709277 -7.92361e-05      8.18759
    0.709277      0.70493  1.72224e-05       0.7051
 4.36439e-05 -6.83398e-05            1  0.000349721
           0            0            0            1

    0.549893    -0.835235 -0.000107089      8.38435
    0.835235     0.549893 -2.24577e-05       1.0193
 7.76477e-05 -7.70947e-05            1  9.51732e-05
           0            0            0            1

    0.372922    -0.927863 -0.000121647      8.51468
    0.927863     0.372922 -5.53032e-05       1.3664
 9.66809e-05 -9.22517e-05            1 -1.97225e-05
           0            0            0            1

     0.18109    -0.983466 -0.000102824       8.5734
    0.983467      0.18109 -9.08253e-05      1.73259
 0.000107947 -8.46817e-05            1 -8.64113e-06
           0            0            0            1

    0.116043    -0.993244 -0.000102426      8.61238
    0.993245     0.116043  -0.00013817      2.16093
 0.000149125 -8.57055e-05            1 -0.000101141
           0            0            0            1

    0.116042    -0.993244 -0.000108161      8.66216
    0.993245     0.116042 -0.000180218       2.5873
 0.000191553 -8.65236e-05            1   -0.0002101
           0            0            0            1

    0.116044    -0.993244 -0.000103778      8.71191
    0.993244     0.116044 -0.000224898      3.01367
 0.000235424 -7.69847e-05            1 -0.000287791
           0            0            0            1

    0.116044    -0.993244  -0.00010485       8.7617
    0.993244     0.116044 -0.000266156      3.44003
 0.000276527  -7.3262e-05            1 -0.000331123
           0            0            0            1

     0.11604    -0.993244  -0.00010457      8.81149
    0.993245      0.11604 -0.000304022      3.86638
 0.000314102  -6.8591e-05            1 -0.000331401
           0            0            0            1

    0.116038    -0.993245 -0.000108153      8.86129
    0.993245     0.116038 -0.000336218      4.29273
 0.000346497 -6.84144e-05            1 -0.000301872
           0            0            0            1

    0.116031    -0.993246  -0.00010941       8.9111
    0.993246     0.116031 -0.000359227      4.71906
 0.000369496 -6.69957e-05            1 -0.000210757
           0            0            0            1

